Date,AAPL,GOOG,MSFT,AMZN
28-10-2020,110.489349,1567.23999,202.858551,3211.01001
29-10-2020,114.583023,1621.01001,200.629044,3036.149902
30-10-2020,108.164307,1626.030029,200.490311,3004.47998
02-11-2020,108.074883,1650.209961,204.552994,3048.409912
03-11-2020,109.734215,1749.130005,214.422455,3241.159912
04-11-2020,114.215385,1763.369995,221.259705,3322
05-11-2020,118.269318,1761.75,221.685822,3311.370117
06-11-2020,118.134949,1763,216.404282,3143.73999
09-11-2020,115.776024,1740.390015,209.091385,3035.02002
10-11-2020,115.427673,1752.709961,214.581009,3137.389893
11-11-2020,118.931206,1749.839966,213.48111,3110.280029
12-11-2020,118.652519,1777.02002,214.541367,3128.810059
13-11-2020,118.702286,1781.380005,215.254807,3131.060059
16-11-2020,119.737419,1770.150024,212.51001,3135.659912
17-11-2020,118.831673,1746.780029,209.708328,3105.459961
18-11-2020,117.478027,1763.920044,211.039627,3117.02002
19-11-2020,118.085175,1742.189941,209.022812,3099.399902
20-11-2020,116.791252,1734.859985,208.744629,3098.389893
23-11-2020,113.317589,1768.880005,212.470276,3118.060059
24-11-2020,114.631409,1771.430054,212.480209,3185.070068
25-11-2020,115.487381,1793.189941,213.83136,3195.340088
27-11-2020,116.044762,1760.73999,212.678909,3168.040039
30-11-2020,118.493263,1798.099976,214.805008,3220.080078
01-12-2020,122.146103,1827.949951,213.970459,3203.530029
02-12-2020,122.504417,1826.77002,212.847794,3186.72998
03-12-2020,122.365074,1827.98999,212.96701,3162.580078
04-12-2020,121.678291,1819.47998,212.897461,3158
07-12-2020,123.17128,1818.550049,214.606293,3177.290039
08-12-2020,123.798332,1784.130005,210.42366,3104.199951
09-12-2020,121.210495,1775.329956,209.151978,3101.48999
10-12-2020,122.663666,1781.77002,211.874161,3116.419922
11-12-2020,121.837555,1760.060059,212.808044,3156.969971
14-12-2020,121.210495,1767.77002,212.73851,3165.120117
15-12-2020,127.281975,1763,217.855042,3240.959961
16-12-2020,127.212296,1747.900024,217.994141,3236.080078
17-12-2020,128.098129,1731.01001,217.16954,3201.649902
18-12-2020,126.06768,1739.369995,221.143539,3206.179932
21-12-2020,127.630333,1723.5,222.484772,3206.52002
22-12-2020,131.26326,1732.380005,219.58374,3185.27002
23-12-2020,130.347565,1738.849976,221.30249,3172.689941
24-12-2020,131.352844,1776.089966,223.498138,3283.959961
28-12-2020,136.050781,1758.719971,222.69339,3322
29-12-2020,134.239273,1739.52002,220.239441,3285.850098
30-12-2020,133.094666,1751.880005,220.97464,3256.929932
31-12-2020,132.069473,1728.23999,216.275375,3186.629883
04-01-2021,128.804825,1740.920044,216.484009,3218.51001
05-01-2021,130.397308,1735.290039,210.870728,3138.379883
06-01-2021,126.007957,1787.25,216.871475,3162.159912
07-01-2021,130.307739,1807.209961,218.192841,3182.699951
08-01-2021,131.432465,1766.719971,216.076675,3114.209961
11-01-2021,128.376816,1746.550049,213.53331,3120.830078
12-01-2021,128.197662,1754.400024,214.934143,3165.889893
13-01-2021,130.277893,1740.180054,211.635727,3127.469971
14-01-2021,128.307144,1736.189941,211.268112,3104.25
15-01-2021,126.545433,1790.859985,215.033508,3120.76001
19-01-2021,127.232208,1886.900024,222.882156,3263.379883
20-01-2021,131.412552,1891.25,223.508087,3306.98999
21-01-2021,136.229919,1901.050049,224.481689,3292.22998
22-01-2021,138.419632,1899.400024,228.038437,3294
25-01-2021,142.251633,1917.23999,230.820236,3326.129883
26-01-2021,142.490509,1830.790039,231.386536,3232.580078
27-01-2021,141.395645,1863.109985,237.37735,3237.620117
28-01-2021,136.448898,1835.73999,230.452652,3206.199951
29-01-2021,131.342896,1901.349976,238.092667,3342.879883
01-02-2021,133.512711,1927.51001,237.953583,3380
02-02-2021,134.358734,2070.070068,241.420914,3312.530029
03-02-2021,133.313629,2062.370117,240.437332,3331
04-02-2021,136.747498,2098,240.626099,3352.149902
05-02-2021,136.323853,2092.909912,240.894348,3322.939941
08-02-2021,136.473373,2083.51001,242.185898,3305
09-02-2021,135.576233,2095.379883,241.242081,3286.580078
10-02-2021,134.958221,2095.889893,242.90123,3262.129883
11-02-2021,134.699051,2104.110107,243.397995,3277.709961
12-02-2021,134.938278,2121.899902,242.116348,3268.949951
16-02-2021,132.765244,2128.310059,243.17189,3308.639893
17-02-2021,130.422729,2117.199951,242.763611,3328.22998
18-02-2021,129.296341,2101.139893,239.95549,3249.899902
19-02-2021,129.455811,2064.879883,233.522675,3180.73999
22-02-2021,125.59816,2070.860107,232.287903,3194.5
23-02-2021,125.458611,2095.169922,233.562515,3159.530029
24-02-2021,124.950241,2031.359985,228.025925,3057.159912
25-02-2021,120.604141,2036.859985,231.401657,3092.929932
26-02-2021,120.873283,2081.51001,235.942459,3146.139893
01-03-2021,127.382454,2075.840088,232.885376,3094.530029
02-03-2021,124.720978,2026.709961,226.601944,3005
03-03-2021,121.670731,2049.090088,225.775436,2977.570068
04-03-2021,119.74688,2108.540039,230.624939,3000.459961
05-03-2021,121.032768,2024.170044,226.432663,2951.949951
08-03-2021,115.988907,2052.699951,232.795746,3062.850098
09-03-2021,120.703819,2055.030029,231.441483,3057.639893
10-03-2021,119.597366,2114.77002,236.131653,3113.590088
11-03-2021,121.571045,2061.919922,234.757462,3089.48999
12-03-2021,120.644012,2066.48999,233.821411,3081.679932
15-03-2021,123.594566,2092.52002,236.709213,3091.860107
16-03-2021,125.169533,2091.080078,236.042023,3135.72998
17-03-2021,124.362122,2036.219971,229.748642,3027.98999
18-03-2021,120.145607,2043.199951,229.380203,3074.959961
19-03-2021,119.60733,2038.589966,234.99646,3110.870117
22-03-2021,122.99649,2052.959961,236.579773,3137.5
23-03-2021,122.1492,2045.060059,234.468689,3087.070068
24-03-2021,119.707008,2044.359985,231.361816,3046.26001
25-03-2021,120.205414,2035.550049,235.484375,3052.030029
26-03-2021,120.823433,2055.949951,234.249619,3075.72998
29-03-2021,121.002861,2055.540039,230.873886,3055.290039
30-03-2021,119.517616,2068.629883,234.777374,3094.080078
31-03-2021,121.760445,2137.75,241.329681,3161
01-04-2021,122.607727,2225.550049,248.021393,3226.72998
05-04-2021,125.498489,2224.75,246.816467,3223.820068
06-04-2021,125.807495,2249.679932,248.847885,3279.389893
07-04-2021,127.492111,2265.439941,252.183777,3299.300049
08-04-2021,129.94426,2285.879883,254.772842,3372.199951
09-04-2021,132.575836,2254.790039,254.832581,3379.389893
12-04-2021,130.821457,2267.27002,257.401733,3400
13-04-2021,134.001266,2254.840088,254.513931,3333
14-04-2021,131.608932,2296.659912,258.407471,3379.090088
15-04-2021,134.07106,2297.76001,259.642242,3399.439941
16-04-2021,133.732147,2302.399902,257.650665,3372.01001
19-04-2021,134.409973,2293.629883,257.172699,3334.689941
20-04-2021,132.685501,2293.290039,259.48291,3362.02002
21-04-2021,133.074234,2267.919922,256.08728,3309.040039
22-04-2021,131.519226,2315.300049,260.050507,3340.879883
23-04-2021,133.891632,2326.73999,260.448822,3409
26-04-2021,134.290359,2307.120117,260.867096,3417.429932
27-04-2021,133.961411,2379.909912,253.488266,3458.5
28-04-2021,133.153992,2429.889893,251.446899,3471.310059
29-04-2021,133.054306,2410.120117,251.118271,3467.419922
30-04-2021,131.040756,2395.169922,250.799637,3386.48999
03-05-2021,132.117294,2354.25,246.746765,3311.870117
04-05-2021,127.442261,2356.73999,245.432327,3270.540039
05-05-2021,127.691467,2381.350098,248.678604,3306.370117
06-05-2021,129.326248,2398.689941,251.39711,3291.610107
07-05-2021,130.015213,2341.659912,246.139328,3190.48999
10-05-2021,126.660225,2308.76001,245.193329,3223.909912
11-05-2021,125.721642,2239.080078,237.99379,3151.939941
12-05-2021,122.586334,2261.969971,242.006805,3161.469971
13-05-2021,124.783043,2316.159912,247.105255,3222.899902
14-05-2021,127.259331,2321.409912,244.147751,3270.389893
17-05-2021,126.081093,2303.429932,242.05661,3232.280029
18-05-2021,124.663223,2308.709961,242.655457,3231.800049
19-05-2021,124.503464,2356.090088,246.009033,3247.679932
20-05-2021,127.119537,2345.100098,244.701538,3203.080078
21-05-2021,125.242355,2406.669922,250.300827,3244.98999
24-05-2021,126.909851,2409.070068,251.239029,3259.050049
25-05-2021,126.710159,2433.530029,251.009476,3265.159912
26-05-2021,126.660225,2402.51001,248.833633,3230.110107
27-05-2021,125.092575,2411.560059,249.202911,3223.070068
28-05-2021,124.423584,2429.810059,246.927277,3218.649902
01-06-2021,124.09407,2421.280029,246.827469,3233.98999
02-06-2021,124.872902,2404.610107,245.240524,3187.01001
03-06-2021,123.355186,2451.76001,250.310791,3206.219971
04-06-2021,125.701668,2466.090088,253.325027,3198.01001
07-06-2021,125.711655,2482.850098,252.087418,3264.110107
08-06-2021,126.550392,2491.399902,253.105453,3281.149902
09-06-2021,126.939812,2521.600098,256.748474,3349.649902
10-06-2021,125.921341,2513.929932,257.397247,3346.830078
11-06-2021,127.159477,2527.040039,259.393433,3383.870117
14-06-2021,130.28479,2520.659912,257.866333,3383.129883
15-06-2021,129.44606,2513.929932,256.888214,3415.25
16-06-2021,129.955292,2527.419922,260.401489,3489.23999
17-06-2021,131.592834,2511.350098,258.934296,3486.899902
18-06-2021,130.264832,2529.100098,262.128174,3453.959961
21-06-2021,132.102081,2539.98999,265.002686,3505.439941
22-06-2021,133.779556,2529.22998,264.763123,3503.820068
